location,date,lat,lon,rain_3day,rain_7day,wave_h,elevation,slope,dist_coast,flooded
Mombasa,2026-01-15,-4.177107513187813,39.748167819329225,53.13,60.08,1.16,0.0,1.58,2.47,1
Mombasa,2025-12-30,-3.9660243623279654,39.60621931750983,42.15,48.31,0.91,28.37,4.63,1.03,0
Mombasa,2025-11-05,-4.068477230567732,39.66928301784879,22.58,46.63,2.07,8.77,0.0,4.22,1
Mombasa,2025-12-07,-3.9829604466507176,39.678850545915864,78.65,99.63,2.39,2.12,1.32,0.02,1
Mombasa,2025-11-15,-3.906603146401019,39.75942559951929,15.93,24.64,0.98,30.74,0.85,0.4,1
Mombasa,2025-12-04,-4.03845123887687,39.591008301745845,26.59,60.01,2.01,0.0,0.0,0.31,1
Mombasa,2026-02-01,-4.049663860902019,39.553679651520184,16.81,39.2,0.83,20.41,0.0,0.15,0
Mombasa,2025-10-29,-4.178384659992072,39.67666375808141,42.73,47.36,2.11,14.18,0.38,0.05,1
Mombasa,2025-11-23,-4.119468305969439,39.63881147919515,15.58,53.17,1.25,12.81,2.85,0.01,0
Mombasa,2026-02-07,-4.050035249752332,39.623041343964196,43.27,47.89,1.4,35.2,6.22,0.18,1
Mombasa,2025-11-14,-3.996231001163718,39.74305927436414,54.51,65.18,2.18,22.42,3.45,0.06,1
Mombasa,2025-12-02,-3.958878289168687,39.72086676784513,40.87,80.06,1.66,14.91,2.5,1.08,0
Mombasa,2025-12-09,-4.085717660055439,39.570984286920016,8.74,16.46,1.62,7.86,2.61,1.4,0
Mombasa,2026-01-17,-4.180219095928229,39.68702584068159,18.2,46.58,1.26,18.02,2.35,0.71,1
Mombasa,2026-02-23,-4.113556320207602,39.74946115477765,12.81,89.4,2.53,9.77,3.65,1.38,1
Mombasa,2025-12-26,-3.9271219416841157,39.7774210843688,23.88,42.64,1.26,22.94,3.12,0.19,1
Mombasa,2026-01-04,-4.135984393926026,39.550046229757484,8.1,49.44,2.12,45.05,3.58,7.74,1
Mombasa,2026-02-20,-4.0643628114546955,39.751887524671446,10.76,16.21,0.65,5.15,1.45,0.62,0
